id,prompt,expected,expected_json,assessment,strict_fields,soft_fields,grader,system,task_type
13,"Wrong address on ORD-23445. New address: 410 Oak Boulevard, Denver, 80203.",ORD-23445,"{""name"":""update_shipping_address"",""arguments"":{""order_id"":""ORD-23445"",""street"":""410 Oak Boulevard"",""city"":""Denver"",""zip"":""80203""}}",json_match,"name,arguments.order_id,arguments.street,arguments.city,arguments.zip",,,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
14,"Please redirect ORD-88812 to 22 Harbor Lane, Seattle, 98101.",update_shipping_address,"{""name"":""update_shipping_address"",""arguments"":{""order_id"":""ORD-88812"",""street"":""22 Harbor Lane"",""city"":""Seattle"",""zip"":""98101""}}",json_match,"name,arguments.order_id,arguments.street,arguments.city,arguments.zip",,,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
15,"I typed my zip wrong on ORD-19073 — should be 60614 not 60616. Address: 1500 Lakeview Dr, Chicago, 60614.",60614,"{""name"":""update_shipping_address"",""arguments"":{""order_id"":""ORD-19073"",""street"":""1500 Lakeview Dr"",""city"":""Chicago"",""zip"":""60614""}}",json_match,"name,arguments.order_id,arguments.street,arguments.city,arguments.zip",,,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
16,Cancel subscription SUB-7821 effective 2026-06-01.,2026-06-01,"{""name"":""cancel_subscription"",""arguments"":{""subscription_id"":""SUB-7821"",""effective_date"":""2026-06-01""}}",json_match,"name,arguments.subscription_id,arguments.effective_date",,,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
17,Customer wants to end SUB-1144 immediately — today is 2026-05-19.,2026-05-19,"{""name"":""cancel_subscription"",""arguments"":{""subscription_id"":""SUB-1144"",""effective_date"":""2026-05-19""}}",json_match,"name,arguments.subscription_id,arguments.effective_date",,,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
18,Stop renewing subscription SUB-9930 starting 2026-07-15.,cancel_subscription,"{""name"":""cancel_subscription"",""arguments"":{""subscription_id"":""SUB-9930"",""effective_date"":""2026-07-15""}}",json_match,"name,arguments.subscription_id,arguments.effective_date",,,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
19,Terminate SUB-4502 at end of billing cycle: 2026-05-31.,2026-05-31,"{""name"":""cancel_subscription"",""arguments"":{""subscription_id"":""SUB-4502"",""effective_date"":""2026-05-31""}}",json_match,"name,arguments.subscription_id,arguments.effective_date",,,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
20,End SUB-6677 on 2026-08-01.,SUB-6677,"{""name"":""cancel_subscription"",""arguments"":{""subscription_id"":""SUB-6677"",""effective_date"":""2026-08-01""}}",json_match,"name,arguments.subscription_id,arguments.effective_date",,,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
21,Email sarah.kim@biz.com to let her know her order shipped today.,sarah.kim@biz.com,"{""name"":""send_email"",""arguments"":{""to"":""sarah.kim@biz.com"",""subject"":""Order shipped"",""body"":""Please follow up regarding order shipped.""}}",json_match,"name,arguments.to","arguments.subject,arguments.body",,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
22,Send a confirmation to t.nguyen@buyer.net about their warranty registration.,send_email,"{""name"":""send_email"",""arguments"":{""to"":""t.nguyen@buyer.net"",""subject"":""Warranty registration confirmation"",""body"":""Please follow up regarding warranty registration confirmation.""}}",json_match,"name,arguments.to","arguments.subject,arguments.body",,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
23,Reach out to ops-team@vendor.co about the delayed shipment.,ops-team@vendor.co,"{""name"":""send_email"",""arguments"":{""to"":""ops-team@vendor.co"",""subject"":""Delayed shipment"",""body"":""Please follow up regarding delayed shipment.""}}",json_match,"name,arguments.to","arguments.subject,arguments.body",,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
24,Write to support-escalation@partner.com explaining the SLA breach.,send_email,"{""name"":""send_email"",""arguments"":{""to"":""support-escalation@partner.com"",""subject"":""SLA breach"",""body"":""Please follow up regarding sla breach.""}}",json_match,"name,arguments.to","arguments.subject,arguments.body",,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
25,Compose an email to lisa.park@retail.io thanking her for the feedback.,lisa.park@retail.io,"{""name"":""send_email"",""arguments"":{""to"":""lisa.park@retail.io"",""subject"":""Feedback follow-up"",""body"":""Please follow up regarding feedback follow-up.""}}",json_match,"name,arguments.to","arguments.subject,arguments.body",,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
26,Bump ticket TKT-3320 to urgent and route to the security team — possible data leak.,urgent,"{""name"":""escalate_ticket"",""arguments"":{""ticket_id"":""TKT-3320"",""priority"":""urgent"",""team"":""security""}}",json_match,"name,arguments.ticket_id,arguments.priority,arguments.team",,,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
27,Escalate TKT-7711 to high priority for the network team.,high,"{""name"":""escalate_ticket"",""arguments"":{""ticket_id"":""TKT-7711"",""priority"":""high"",""team"":""network""}}",json_match,"name,arguments.ticket_id,arguments.priority,arguments.team",,,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
28,Move TKT-2100 to medium priority and assign to billing.,escalate_ticket,"{""name"":""escalate_ticket"",""arguments"":{""ticket_id"":""TKT-2100"",""priority"":""medium"",""team"":""billing""}}",json_match,"name,arguments.ticket_id,arguments.priority,arguments.team",,,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
29,Critical outage — escalate TKT-8845 to urgent and send to infrastructure.,urgent,"{""name"":""escalate_ticket"",""arguments"":{""ticket_id"":""TKT-8845"",""priority"":""urgent"",""team"":""infrastructure""}}",json_match,"name,arguments.ticket_id,arguments.priority,arguments.team",,,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
30,Customer complaint TKT-6602 needs to go to the legal team at low priority — informational.,low,"{""name"":""escalate_ticket"",""arguments"":{""ticket_id"":""TKT-6602"",""priority"":""low"",""team"":""legal""}}",json_match,"name,arguments.ticket_id,arguments.priority,arguments.team",,,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
31,Email backend-team@platform.io about the upcoming deploy on 2026-06-15.,backend-team@platform.io,"{""name"":""send_email"",""arguments"":{""to"":""backend-team@platform.io"",""subject"":""Upcoming deploy"",""body"":""Please follow up regarding upcoming deploy.""}}",json_match,"name,arguments.to","arguments.subject,arguments.body",,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
32,Send a quick note to legal-counsel@firm.com confirming we received the contract.,send_email,"{""name"":""send_email"",""arguments"":{""to"":""legal-counsel@firm.com"",""subject"":""Contract received"",""body"":""Please follow up regarding contract received.""}}",json_match,"name,arguments.to","arguments.subject,arguments.body",,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
33,Reach out to dev-ops@cloudco.net about the new pager rotation.,dev-ops@cloudco.net,"{""name"":""send_email"",""arguments"":{""to"":""dev-ops@cloudco.net"",""subject"":""Pager rotation"",""body"":""Please follow up regarding pager rotation.""}}",json_match,"name,arguments.to","arguments.subject,arguments.body",,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
34,Drop a message to engineering-leads@startup.io regarding the postmortem doc.,send_email,"{""name"":""send_email"",""arguments"":{""to"":""engineering-leads@startup.io"",""subject"":""Postmortem doc"",""body"":""Please follow up regarding postmortem doc.""}}",json_match,"name,arguments.to","arguments.subject,arguments.body",,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
35,Contact billing-team@vendor.com about the invoice discrepancy on March's bill.,billing-team@vendor.com,"{""name"":""send_email"",""arguments"":{""to"":""billing-team@vendor.com"",""subject"":""Invoice discrepancy"",""body"":""Please follow up regarding invoice discrepancy.""}}",json_match,"name,arguments.to","arguments.subject,arguments.body",,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
36,Notify customer-success@retailco.io that case 4421 is resolved.,send_email,"{""name"":""send_email"",""arguments"":{""to"":""customer-success@retailco.io"",""subject"":""Case 4421 resolved"",""body"":""Please follow up regarding case 4421 resolved.""}}",json_match,"name,arguments.to","arguments.subject,arguments.body",,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
37,Reply to qa-team@labs.com confirming the bug repro steps.,qa-team@labs.com,"{""name"":""send_email"",""arguments"":{""to"":""qa-team@labs.com"",""subject"":""Bug repro steps"",""body"":""Please follow up regarding bug repro steps.""}}",json_match,"name,arguments.to","arguments.subject,arguments.body",,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
38,Send incidents@oncall.io a heads-up about the planned maintenance window.,incidents@oncall.io,"{""name"":""send_email"",""arguments"":{""to"":""incidents@oncall.io"",""subject"":""Planned maintenance window"",""body"":""Please follow up regarding planned maintenance window.""}}",json_match,"name,arguments.to","arguments.subject,arguments.body",,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
39,Escalate TKT-9912 to the platform team at high priority.,high,"{""name"":""escalate_ticket"",""arguments"":{""ticket_id"":""TKT-9912"",""priority"":""high"",""team"":""platform""}}",json_match,"name,arguments.ticket_id,arguments.priority,arguments.team",,,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
40,Send TKT-1188 to the legal team and mark urgent — possible regulatory issue.,urgent,"{""name"":""escalate_ticket"",""arguments"":{""ticket_id"":""TKT-1188"",""priority"":""urgent"",""team"":""legal""}}",json_match,"name,arguments.ticket_id,arguments.priority,arguments.team",,,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
41,Route TKT-4477 to billing at medium priority — refund dispute.,medium,"{""name"":""escalate_ticket"",""arguments"":{""ticket_id"":""TKT-4477"",""priority"":""medium"",""team"":""billing""}}",json_match,"name,arguments.ticket_id,arguments.priority,arguments.team",,,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
42,Push TKT-3050 to ops at low priority — informational only.,TKT-3050,"{""name"":""escalate_ticket"",""arguments"":{""ticket_id"":""TKT-3050"",""priority"":""low"",""team"":""ops""}}",json_match,"name,arguments.ticket_id,arguments.priority,arguments.team",,,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
