id,prompt,expected,assessment,grader,system,task_type
14,"Classify the sentiment of this customer review as positive, negative, or mixed. Return only the label. Review: The product itself might be fine but I'll never know because it never shipped.",negative,exact_normalized,,"You are a precise sentiment classifier. Return only one label: positive, negative, or mixed.",sentiment
15,"Classify the sentiment of this customer review as positive, negative, or mixed. Return only the label. Review: Tastes amazing but the packaging is impossible to reseal so it goes stale fast.",mixed,exact_normalized,,"You are a precise sentiment classifier. Return only one label: positive, negative, or mixed.",sentiment
16,"Classify the sentiment of this customer review as positive, negative, or mixed. Return only the label. Review: Honestly didn't expect much at this price, but the build quality is outstanding.",positive,exact_normalized,,"You are a precise sentiment classifier. Return only one label: positive, negative, or mixed.",sentiment
17,"Classify the sentiment of this customer review as positive, negative, or mixed. Return only the label. Review: Way overpriced for what you get. The plastic feels cheap and the buttons are sticky.",negative,exact_normalized,,"You are a precise sentiment classifier. Return only one label: positive, negative, or mixed.",sentiment
18,"Classify the sentiment of this customer review as positive, negative, or mixed. Return only the label. Review: Beautiful hotel and friendly staff, but paper-thin walls and a noisy AC unit ruined the sleep.",mixed,exact_normalized,,"You are a precise sentiment classifier. Return only one label: positive, negative, or mixed.",sentiment
19,"Classify the sentiment of this customer review as positive, negative, or mixed. Return only the label. Review: My kids love it. We've been using it every day since it arrived.",positive,exact_normalized,,"You are a precise sentiment classifier. Return only one label: positive, negative, or mixed.",sentiment
20,"Classify the sentiment of this customer review as positive, negative, or mixed. Return only the label. Review: Coffee maker leaked all over my counter on the first use. Dangerous and disappointing.",negative,exact_normalized,,"You are a precise sentiment classifier. Return only one label: positive, negative, or mixed.",sentiment
21,"Classify the sentiment of this customer review as positive, negative, or mixed. Return only the label. Review: The instructor is engaging but half the videos buffer constantly even on fiber internet.",mixed,exact_normalized,,"You are a precise sentiment classifier. Return only one label: positive, negative, or mixed.",sentiment
22,"Classify the sentiment of this customer review as positive, negative, or mixed. Return only the label. Review: Fast shipping, exactly as described, and the discount code worked at checkout.",positive,exact_normalized,,"You are a precise sentiment classifier. Return only one label: positive, negative, or mixed.",sentiment
23,"Classify the sentiment of this customer review as positive, negative, or mixed. Return only the label. Review: Three calls to support and no one can explain why my account was charged twice.",negative,exact_normalized,,"You are a precise sentiment classifier. Return only one label: positive, negative, or mixed.",sentiment
24,"Classify the sentiment of this customer review as positive, negative, or mixed. Return only the label. Review: Solid printer for the price, though the included ink cartridges ran out within a week.",mixed,exact_normalized,,"You are a precise sentiment classifier. Return only one label: positive, negative, or mixed.",sentiment
25,"Classify the sentiment of this customer review as positive, negative, or mixed. Return only the label. Review: Bought one for my mom and she keeps texting me to thank me. That's a win.",positive,exact_normalized,,"You are a precise sentiment classifier. Return only one label: positive, negative, or mixed.",sentiment
26,"Classify the sentiment of this customer review as positive, negative, or mixed. Return only the label. Review: The fabric started pilling after one wash. Looks like a five-year-old garment now.",negative,exact_normalized,,"You are a precise sentiment classifier. Return only one label: positive, negative, or mixed.",sentiment
27,"Classify the sentiment of this customer review as positive, negative, or mixed. Return only the label. Review: App UI is gorgeous and intuitive. Sync between devices is hit or miss, usually miss.",mixed,exact_normalized,,"You are a precise sentiment classifier. Return only one label: positive, negative, or mixed.",sentiment
28,"Classify the sentiment of this customer review as positive, negative, or mixed. Return only the label. Review: The new firmware update fixed every bug I had. Smooth as silk now.",positive,exact_normalized,,"You are a precise sentiment classifier. Return only one label: positive, negative, or mixed.",sentiment
29,"Classify the sentiment of this customer review as positive, negative, or mixed. Return only the label. Review: Worst sleep tracker I've owned. Logs me as awake when I'm clearly asleep.",negative,exact_normalized,,"You are a precise sentiment classifier. Return only one label: positive, negative, or mixed.",sentiment
30,"Classify the sentiment of this customer review as positive, negative, or mixed. Return only the label. Review: Backpack holds everything I need, but the strap stitching is already coming apart.",mixed,exact_normalized,,"You are a precise sentiment classifier. Return only one label: positive, negative, or mixed.",sentiment
